Business_name	Business_phone_number	Business_homepage_URL	Business_Address	Opening_hours	Takes_Reservations	Delivery	TAKE_OUT	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Android_Pay	Accepts_Bitcoin	Good_For	Parking	Bike_Parking	Good_for_Kids	Good_for_Groups	Attire	Ambience	Noise_Level	Alcohol	Outdoor_Seating	Wi_Fi	Has_TV	Caters	Gender_Neutral_Restrooms	contact_US	emails
Macha Cafe	(415) 563-8079	NA	1355 Sutter StSan Francisco, CA 94109 b/t Franklin St & United States Highway 101 Lower Pacific Heights	Mon --> 7:00 am - 4:00 pm ; Tue --> 7:00 am - 4:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 4:00 pm ; Fri --> 7:00 am - 4:00 pm ; Sat --> NA - NA ; Sun --> NA - NA ;	No	No	Yes	No	No	NA	NA	NA	Street	Yes	Yes	No	Casual	Casual	Quiet	No	No	No	Yes	Yes	NA	NA	NA
Mae Krua	(415) 574-7334	maekrua.eat24hour.com	Located in331 Cortland 331 Cortland AveSan Francisco, CA 94110 b/t Bocana St & Bennington St Bernal Heights	Mon --> 10:00 am - 6:00 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 10:00 am - 6:00 pm ; Fri --> 10:00 am - 6:00 pm ; Sat --> 10:00 am - 6:00 pm ; Sun --> 10:00 am - 6:00 pm ;	No	No	Yes	Yes	Yes	NA	NA	Lunch	Street	Yes	Yes	No	Casual	Casual	Quiet	No	No	Free	No	NA	NA	https://maekrua.eat24hour.com/	NA
Malasa	(415) 682-9980	NA	1336 9th AveSan Francisco, CA 94122 b/t Irving St & Judah St Inner Sunset	Mon --> NA - NA ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> NA - NA ; Fri --> NA - NA ; Sat --> 10:00 am - 2:30 pm ; Sun --> 10:00 am - 2:30 pm ;	Yes	Yes	Yes	Yes	No	No	No	Brunch, Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	Free	Yes	Yes	Yes	NA	NA
MaMa Ji’s	(415) 212-8187	mamajissf.com	4416 18th StSan Francisco, CA 94114 b/t Douglass St & Eureka St Castro	Mon --> 11:00 am - 2:30 pm5:30 pm - 9:30 pm ; Tue --> 11:00 am - 2:30 pm5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 2:30 pm5:30 pm - 9:30 pm ; Fri --> 11:00 am - 2:30 pm5:30 pm - 10:00 pm ; Sat --> 9:30 am - 3:00 pm5:00 pm - 10:00 pm ; Sun --> 9:30 am - 3:00 pm5:00 pm - 9:30 pm ;	No	No	Yes	Yes	No	Yes	NA	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	No	No	No	Yes	http://mamajissf.com/	info@mamajissf.com
Mama’s On Washington Square	(415) 362-6421	mamas-sf.com	1701 Stockton StSan Francisco, CA 94133 at Filbert St North Beach/Telegraph Hill	Mon --> NA - NA ; Tue --> 8:00 am - 3:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 3:00 pm ; Fri --> 8:00 am - 3:00 pm ; Sat --> 8:00 am - 3:00 pm ; Sun --> 8:00 am - 3:00 pm ;	No	No	No	No	No	No	NA	Breakfast, Brunch	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	Yes	http://www.mamas-sf.com/contact.html	dearmama@mamas-sf.com, orders@mamas-sf.com
Mandalay	(415) 386-3896	mandalaysf.com	4348 California StSan Francisco, CA 94118 b/t 6th Ave & 5th Ave Inner Richmond	Mon --> 11:30 am - 2:30 pm5:00 pm - 9:30 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 11:30 am - 2:30 pm5:00 pm - 9:30 pm ; Fri --> 11:30 am - 2:30 pm5:00 pm - 10:00 pm ; Sat --> 11:30 am - 10:00 pm ; Sun --> 11:30 am - 9:30 pm ;	Yes	No	Yes	Yes	No	No	NA	Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	Yes	NA	http://mandalaysf.com/	phyo@pixeldirects.com
M &amp; C Market	(415) 920-9442	mandcmarket.comcastbiz.net	1200 Valencia StSan Francisco, CA 94110 b/t 24th St & 23rd St Mission	Mon --> 7:00 am - 12:00 am ; Tue --> 7:00 am - 12:00 am ; Wed --> NA - NA ; Thu --> 7:00 am - 12:00 am ; Fri --> 7:00 am - 2:00 am ; Sat --> 7:00 am - 2:00 am ; Sun --> 7:00 am - 12:00 am ;	No	No	No	Yes	NA	NA	NA	NA	Street	NA	No	No	Casual	NA	Average	NA	No	NA	No	NA	NA	http://mandcmarket.comcastbiz.net/	mandcmarket@yahoo.com
Manitas Cafe &amp; Deli	(415) 213-5566	manitascafe.com	2078 Hayes StSan Francisco, CA 94117 b/t Clayton St & Cole St NoPa	Mon --> 7:00 am - 4:00 pm ; Tue --> 7:00 am - 8:30 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 8:30 pm ; Fri --> 7:00 am - 8:30 pm ; Sat --> 7:00 am - 8:30 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	Yes	Yes	No	Breakfast, Brunch, Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	Yes	Yes	Yes	http://manitascafe.com/contact	orders@manitascafe.com
Manna	(415) 665-5969	NA	845 Irving StSan Francisco, CA 94122 b/t 10th Ave & 9th Ave Inner Sunset	Mon --> NA - NA ; Tue --> 11:00 am - 9:30 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 9:30 pm ; Fri --> 11:00 am - 9:30 pm ; Sat --> 11:00 am - 9:30 pm ; Sun --> 11:00 am - 9:30 pm ;	No	No	Yes	Yes	No	No	NA	Lunch, Dinner	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	Yes	NA	NA
Manora’s Thai Cuisine	(415) 861-6224	manorasthai.com	1600 Folsom StSan Francisco, CA 94103 b/t 12th St & United States Highway 101 SoMa	Mon --> 11:30 am - 2:30 pm5:30 pm - 9:30 pm ; Tue --> 11:30 am - 2:30 pm5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 2:30 pm5:30 pm - 9:30 pm ; Fri --> 11:30 am - 2:30 pm5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> NA - NA ;	Yes	Yes	Yes	Yes	No	NA	No	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Full Bar	No	No	No	No	NA	http://www.manorasthai.com/	NA
Manzoni	(415) 334-2251	manzonirestaurant.com	2788 Diamond StSan Francisco, CA 94131 at Chenery St Glen Park	Mon --> NA - NA ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> 5:30 pm - 10:00 pm ;	Yes	No	Yes	Yes	No	No	NA	NA	Street	Yes	Yes	Yes	Casual	NA	Average	Beer & Wine Only	No	Free	No	No	NA	http://www.manzonirestaurant.com/	manzonirestaurant@gmail.com
Marcella’s Lasagneria	(415) 920-2225	marcellaslasagneria.com	1099 Tennessee StSan Francisco, CA 94107 b/t 22nd St & 20th St Potrero Hill, Dogpatch	Mon --> 11:30 am - 4:30 pm ; Tue --> 11:30 am - 4:30 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 4:30 pm ; Fri --> 11:30 am - 4:30 pm ; Sat --> NA - NA ; Sun --> NA - NA ;	Yes	No	Yes	Yes	Yes	No	No	Lunch	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	Yes	No	No	Yes	Yes	http://marcellaslasagneria.com/	NA
Marcello’s Pizza	(415) 863-3900	marcellospizza420.com	420 Castro StSan Francisco, CA 94114 b/t 18th St & 17th St Castro	Mon --> 11:00 am - 1:00 am ; Tue --> 11:00 am - 1:00 am ; Wed --> NA - NA ; Thu --> 11:00 am - 1:00 am ; Fri --> 11:00 am - 2:00 am ; Sat --> 11:00 am - 2:00 am ; Sun --> 11:00 am - 1:00 am ;	No	Yes	Yes	No	No	No	No	Dinner, Late Night	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	Yes	No	Yes	Yes	NA	https://www.marcellospizza420.com/	NA
Marengo	(415) 441-2575	marengosf.com	1980 Union StSan Francisco, CA 94123 b/t Buchanan St & Charlton Ct Marina/Cow Hollow	Mon --> 4:00 pm - 11:00 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 3:00 pm - 12:00 am ; Fri --> 11:30 am - 1:00 am ; Sat --> 11:00 am - 1:00 am ; Sun --> 10:30 am - 8:00 pm ;	No	No	Yes	Yes	NA	NA	NA	Brunch, Dinner	Street	Yes	No	Yes	Casual	Trendy	Average	Full Bar	No	No	Yes	No	Yes	https://www.marengosf.com/	NA
Marina Submarine	(415) 921-3990	NA	2299 Union StSan Francisco, CA 94123 b/t Fillmore St & Steiner St Marina/Cow Hollow	Mon --> 10:00 am - 5:00 pm ; Tue --> 10:00 am - 5:00 pm ; Wed --> NA - NA ; Thu --> 10:00 am - 5:00 pm ; Fri --> 10:00 am - 5:00 pm ; Sat --> 11:00 am - 4:30 pm ; Sun --> 11:00 am - 3:30 pm ;	No	No	Yes	No	No	No	NA	Lunch	Street	Yes	Yes	No	Casual	Casual	Quiet	No	No	No	No	No	NA	NA	NA
Market Mayflower &amp; Deli	(415) 747-6110	marketmayflower.com/index.html	985 Bush StSan Francisco, CA 94109 b/t Jones St & Taylor St Lower Nob Hill, Nob Hill	Mon --> 9:00 am - 11:00 pm ; Tue --> 9:00 am - 11:00 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 11:00 pm ; Fri --> 9:00 am - 12:00 am ; Sat --> 9:00 am - 12:00 am ; Sun --> 9:00 am - 11:00 pm ;	No	No	Yes	Yes	NA	NA	NA	Lunch	Street	No	Yes	Yes	Casual	Casual	Average	Full Bar	NA	No	Yes	Yes	NA	http://marketmayflower.com/index.html	NA
Marlowe	(415) 777-1413	marlowesf.com	500 Brannan StSan Francisco, CA 94107 b/t 5th St & 4th St Mission Bay	Mon --> 11:30 am - 10:00 pm ; Tue --> 11:30 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 11:00 pm ; Fri --> 11:30 am - 11:00 pm ; Sat --> 10:00 am - 11:00 pm ; Sun --> 10:00 am - 10:00 pm ;	Yes	No	Yes	Yes	No	No	NA	Dinner	Garage, Street	Yes	No	Yes	Casual	Trendy	Average	Full Bar	No	No	No	No	Yes	https://marlowesf.com/contact/	info@marlowesf.com, evyn@evynblock.com
Marnee Thai	(415) 731-9999	marneethaisf.com	1243 9th AveSan Francisco, CA 94122 b/t Lincoln Way & Irving St Inner Sunset	Mon --> 11:30 am - 3:30 pm4:30 pm - 9:30 pm ; Tue --> 11:30 am - 3:30 pm4:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 3:30 pm4:30 pm - 9:30 pm ; Fri --> 11:30 am - 3:30 pm4:30 pm - 10:00 pm ; Sat --> 11:30 am - 10:00 pm ; Sun --> 11:30 am - 9:30 pm ;	Yes	Yes	Yes	Yes	No	No	NA	Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	Yes	NA	https://www.marneethaisf.com/	NA
Marufuku Ramen	(415) 872-9786	marufukuramen.com	Located inJapan Center 1581 Webster StSte 235San Francisco, CA 94115 b/t Post St & Geary Blvd Lower Pacific Heights, Japantown	Mon --> NA - NA ; Tue --> 11:30 am - 2:00 pm5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 2:00 pm5:30 pm - 9:30 pm ; Fri --> 11:30 am - 2:00 pm5:30 pm - 9:30 pm ; Sat --> 11:30 am - 3:00 pm5:00 pm - 9:30 pm ; Sun --> 11:30 am - 3:00 pm5:00 pm - 9:00 pm ;	No	No	Yes	Yes	No	No	NA	Lunch, Dinner	Garage	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	NA	https://www.marufukuramen.com/	NA
Maruya	(415) 503-0702	maruyasf.org	2931 16th StSan Francisco, CA 94103 b/t Van Ness Ave & Capp St Mission	Mon --> NA - NA ; Tue --> 5:30 pm - 9:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 9:00 pm ; Fri --> 5:30 pm - 9:30 pm ; Sat --> 5:30 pm - 9:30 pm ; Sun --> NA - NA ;	Yes	No	No	Yes	No	No	No	NA	Street	No	No	No	Casual	Classy	Average	Beer & Wine Only	No	No	No	No	NA	http://www.maruyasf.org/	NA
Massawa Restaurant	(415) 621-4129	massawarestaurant.eat24hour.c…	532 Green StSan Francisco, CA 94133 b/t Jasper Pl & Bannam Pl North Beach/Telegraph Hill	Mon --> 11:00 am - 10:00 pm ; Tue --> 11:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 10:00 pm ; Fri --> 11:00 am - 11:00 pm ; Sat --> 10:00 am - 11:00 pm ; Sun --> 10:00 am - 10:00 pm ;	No	No	Yes	Yes	Yes	NA	NA	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	No	No	Free	Yes	Yes	Yes	NA	NA
Mateo’s Taqueria	(415) 648-6000	mateossf.com	2471 Mission StSan Francisco, CA 94110 b/t 21st St & 20th St Mission	Mon --> 11:00 am - 9:00 pm ; Tue --> 11:00 am - 9:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 9:00 pm ; Fri --> 11:00 am - 9:30 pm ; Sat --> 11:00 am - 9:30 pm ; Sun --> 11:00 am - 8:00 pm ;	No	Yes	Yes	Yes	No	NA	NA	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	Yes	Yes	http://www.mateossf.com/	NA
Mathilde French Bistro	(415) 546-6128	mathildesf.com	315 5th StSan Francisco, CA 94107 b/t Folsom St & Jessie St SoMa	Mon --> NA - NA ; Tue --> 5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 9:30 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> NA - NA ;	Yes	No	Yes	Yes	No	No	NA	Dinner, Dessert	Street	Yes	No	Yes	Casual	Classy	Average	Beer & Wine Only	Yes	No	No	No	Yes	https://www.mathildesf.com/	lina@lecharm.com
Mau	(415) 934-8889	eatmau.com	665 Valencia StSan Francisco, CA 94110 b/t Sycamore St & 18th St Mission	Mon --> 12:00 pm - 3:00 pm5:30 pm - 10:00 pm ; Tue --> 12:00 pm - 3:00 pm5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 12:00 pm - 3:00 pm5:30 pm - 10:00 pm ; Fri --> 12:00 pm - 3:00 pm5:30 pm - 10:00 pm ; Sat --> 12:00 pm - 3:00 pm5:30 pm - 10:00 pm ; Sun --> 12:00 pm - 3:00 pm5:30 pm - 10:00 pm ;	No	Yes	Yes	Yes	No	No	No	Lunch, Dinner	Street	No	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	No	No	Yes	NA	http://eatmau.com/	NA
Maven	(415) 829-7982	maven-sf.com	598 Haight StSan Francisco, CA 94117 b/t Steiner St & Fillmore St Lower Haight	Mon --> 5:30 pm - 11:30 pm ; Tue --> 5:30 pm - 11:30 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 11:30 pm ; Fri --> 5:30 pm - 11:30 pm ; Sat --> 11:00 am - 11:30 pm ; Sun --> 11:00 am - 9:30 pm ;	Yes	No	Yes	Yes	No	NA	No	Dinner	Street	Yes	No	Yes	Casual	Trendy	Average	Full Bar	No	No	No	No	NA	http://www.maven-sf.com/contact/	selena@maven-sf.com
Mazarine Coffee	(415) 398-7700	mazarinecoffee.com	720 Market StSan Francisco, CA 94102 b/t Ofarrell St & Kearny St Union Square, Financial District	Mon --> 7:00 am - 6:00 pm ; Tue --> 7:00 am - 6:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 6:00 pm ; Fri --> 7:00 am - 6:00 pm ; Sat --> 8:00 am - 5:00 pm ; Sun --> 8:00 am - 5:00 pm ;	No	No	Yes	Yes	No	No	No	Breakfast, Brunch	Street	Yes	No	Yes	Casual	Casual	Average	No	Yes	No	No	No	Yes	https://mazarinecoffee.com/	hi@mazarinecoffee.com, jobs@mazarinecoffee.com
Mazzat	(415) 525-3901	mazzat.restaurantengine.com	501 Fell StSan Francisco, CA 94102 b/t Buchanan St & Laguna St Hayes Valley	Mon --> 4:00 pm - 10:00 pm ; Tue --> 4:00 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 4:00 pm - 10:00 pm ; Fri --> 4:00 pm - 10:00 pm ; Sat --> 4:00 pm - 10:00 pm ; Sun --> 4:00 pm - 9:00 pm ;	Yes	No	Yes	Yes	Yes	NA	NA	Dinner	Street	Yes	No	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	No	No	NA	https://mazzat.restaurantengine.com/contact/	NA
Me &amp; Tasty	(415) 923-8498	NA	3970 17th StSan Francisco, CA 94114 b/t Hartford St & Market St Castro	Mon --> 11:00 am - 2:30 pm5:00 pm - 10:00 pm ; Tue --> 11:00 am - 2:30 pm5:00 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 2:30 pm5:00 pm - 10:00 pm ; Fri --> 11:00 am - 2:30 pm5:00 pm - 10:00 pm ; Sat --> 9:00 am - 2:30 pm5:00 pm - 10:00 pm ; Sun --> 9:00 am - 2:30 pm5:00 pm - 10:00 pm ;	Yes	Yes	Yes	Yes	No	No	NA	Brunch, Lunch	Street	Yes	Yes	Yes	Casual	Trendy	Average	Beer & Wine Only	No	No	No	NA	Yes	NA	NA
Media Noche	(415) 655-3904	medianochesf.com	3465 19th StSan Francisco, CA 94110 b/t Valencia St & Lexington St Mission	Mon --> 11:30 am - 10:00 pm ; Tue --> 11:30 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 10:00 pm ; Fri --> 11:30 am - 10:00 pm ; Sat --> 11:30 am - 10:00 pm ; Sun --> 11:30 am - 9:00 pm ;	No	Yes	Yes	Yes	No	No	No	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual, Trendy	Average	Beer & Wine Only	Yes	No	No	Yes	Yes	https://www.medianochesf.com/	NA
Mela Tandoori Kitchen	(415) 447-4041	melasf.com	536 Golden Gate AveSan Francisco, CA 94102 b/t Polk St & United States Highway 101 Civic Center	Mon --> 5:30 pm - 10:00 pm ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> NA - NA ;	Yes	Yes	Yes	Yes	No	No	No	Dinner	Garage, Street	No	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	Yes	Yes	NA	http://melasf.com/contact/	melakaraja@hotmail.com
Mensho Tokyo	(415) 800-8345	mensho.tokyo	672 Geary StSan Francisco, CA 94102 b/t Jones St & Leavenworth St Lower Nob Hill	Mon --> NA - NA ; Tue --> 5:00 pm - 11:30 pm ; Wed --> NA - NA ; Thu --> 5:00 pm - 11:30 pm ; Fri --> 5:00 pm - 11:30 pm ; Sat --> 5:00 pm - 11:30 pm ; Sun --> 5:00 pm - 11:30 pm ;	No	No	No	Yes	No	No	NA	Dinner	Street	No	No	No	Casual	Casual	Average	Beer & Wine Only	No	No	Yes	No	Yes	http://mensho.tokyo/	NA
Mercury Cafe	(415) 252-7855	mercurycafe.net	201 Octavia BlvdSan Francisco, CA 94102 b/t Lily St & Page St Hayes Valley	Mon --> 7:00 am - 5:00 pm ; Tue --> 7:00 am - 5:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 5:00 pm ; Fri --> 7:00 am - 5:00 pm ; Sat --> 8:00 am - 5:00 pm ; Sun --> 8:00 am - 5:00 pm ;	No	No	Yes	Yes	Yes	NA	NA	Breakfast, Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	No	No	Yes	http://www.mercurycafe.net/contact/	mercurycoffee@gmail.com
Metro Caffe	(415) 621-9536	metrocaffe.com	NA	Mon --> 11:00 am - 10:00 pm ; Tue --> 11:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 10:00 pm ; Fri --> 11:00 am - 10:00 pm ; Sat --> 11:00 am - 10:00 pm ; Sun --> 11:00 am - 9:00 pm ;	No	Yes	Yes	Yes	Yes	NA	NA	Lunch, Dinner	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	Yes	No	Yes	No	NA	http://metrocaffe.com/	NA
Mexico Tipico	(415) 337-7562	NA	4581 Mission StSan Francisco, CA 94112 b/t Harrington St & Brazil Ave Outer Mission, Excelsior	Mon --> 8:30 am - 12:00 am ; Tue --> 8:30 am - 12:00 am ; Wed --> NA - NA ; Thu --> 8:30 am - 12:00 am ; Fri --> 8:30 am - 3:00 am ; Sat --> 8:30 am - 3:00 am ; Sun --> 8:30 am - 12:00 am ;	No	No	Yes	Yes	No	No	NA	Lunch, Dinner, Late Night	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	Yes	Yes	NA	NA	NA
Michaelis Food Store	(415) 673-9708	NA	901 N Point StSan Francisco, CA 94109 Russian Hill, Fisherman's Wharf	Mon --> 8:00 am - 11:00 pm ; Tue --> 8:00 am - 11:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 11:00 pm ; Fri --> 8:00 am - 2:00 am ; Sat --> 8:00 am - 2:00 am ; Sun --> 8:00 am - 11:00 pm ;	No	No	Yes	Yes	No	NA	NA	NA	Street	Yes	Yes	No	Casual	Casual	Average	Full Bar	No	No	Yes	Yes	NA	NA	NA
Mikkeller Bar	(415) 984-0279	mikkellerbar.com	34 Mason StSan Francisco, CA 94102 b/t Turk St & Market St Union Square	Mon --> 12:00 pm - 12:00 am ; Tue --> 12:00 pm - 12:00 am ; Wed --> NA - NA ; Thu --> 12:00 pm - 2:00 am ; Fri --> 12:00 pm - 2:00 am ; Sat --> 12:00 pm - 2:00 am ; Sun --> 12:00 pm - 12:00 am ;	No	No	No	Yes	No	No	No	Dinner	Street	Yes	No	Yes	Casual	Hipster	Average	Beer & Wine Only	No	Free	No	No	NA	http://mikkellerbar.com/	mikkellerbar@gmail.com
Mi Lindo Peru	(415) 642-4897	NA	3226 Mission StSan Francisco, CA 94110 b/t Valencia St & 29th St Bernal Heights, Mission	Mon --> 11:30 am - 2:30 pm5:00 pm - 9:00 pm ; Tue --> 11:30 am - 2:30 pm5:00 pm - 9:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 2:30 pm5:00 pm - 9:00 pm ; Fri --> 11:30 am - 2:30 pm5:00 pm - 9:00 pm ; Sat --> 12:00 pm - 4:00 pm5:00 pm - 9:00 pm ; Sun --> 12:00 pm - 4:00 pm5:00 pm - 9:00 pm ;	No	No	Yes	Yes	No	No	NA	Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	Yes	NA	NA
Milkbean	(415) 866-8811	milkbeansf.com	881 Post StSan Francisco, CA 94109 b/t Hyde St & Leavenworth St Lower Nob Hill	Mon --> 8:00 am - 5:00 pm ; Tue --> 8:00 am - 5:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 5:00 pm ; Fri --> 8:00 am - 5:00 pm ; Sat --> 8:00 am - 5:00 pm ; Sun --> 8:00 am - 5:00 pm ;	No	No	Yes	Yes	Yes	No	NA	Lunch	Street	No	Yes	No	Casual	Hipster, Casual, Trendy	Quiet	No	No	Free	No	Yes	Yes	https://www.milkbeansf.com/contact-1/	milkbean881@gmail.com
Miller’s Rest	(415) 441-4232	millersrest.com	1085 Sutter StSan Francisco, CA 94109 at Larkin St Lower Nob Hill	Mon --> 11:00 am - 2:00 am ; Tue --> 11:00 am - 2:00 am ; Wed --> NA - NA ; Thu --> 11:00 am - 2:00 am ; Fri --> 11:00 am - 2:00 am ; Sat --> 11:00 am - 2:00 am ; Sun --> 11:00 am - 2:00 am ;	No	No	Yes	Yes	NA	NA	No	Lunch, Dinner	Street	Yes	No	Yes	Casual	Casual, Trendy	Average	Full Bar	No	Free	Yes	Yes	Yes	http://millersrest.com/	NA
Minas Brazilian Restaurant &amp; Cachaçaria	(415) 626-8727	minasbrazilianrestaurant.com	41 Franklin StSan Francisco, CA 94102 b/t Oak St & Lily St Hayes Valley	Mon --> NA - NA ; Tue --> 11:30 am - 2:00 pm5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 2:30 pm5:00 pm - 10:00 pm ; Fri --> 11:30 am - 2:30 pm5:00 pm - 11:00 pm ; Sat --> 5:00 pm - 11:00 pm ; Sun --> 11:30 am - 3:30 pm ;	Yes	Yes	Yes	Yes	No	NA	No	Lunch, Dinner	Garage, Street	Yes	Yes	Yes	Casual	NA	Average	Full Bar	Yes	Free	Yes	Yes	Yes	http://www.minasbrazilianrestaurant.com/contact/	NA
Mission Banh Mi	(415) 551-1772	ducloimarket.com	Located inDuc Loi Supermarket 2200 Mission StSan Francisco, CA 94110 b/t 19th St & 18th St Mission	Mon --> 11:00 am - 7:00 pm ; Tue --> 11:00 am - 7:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 7:00 pm ; Fri --> 11:00 am - 7:00 pm ; Sat --> 11:00 am - 7:00 pm ; Sun --> 11:00 am - 7:00 pm ;	No	No	Yes	Yes	No	No	NA	NA	Street, Private Lot	Yes	Yes	No	Casual	Casual	Average	No	No	No	No	No	NA	http://www.ducloimarket.com/contact.html	NA
Mission Beach Cafe	(415) 861-0198	NA	198 Guerrero StSan Francisco, CA 94103 b/t Brosnan St & 14th St Mission	Mon --> 7:00 am - 10:00 pm ; Tue --> 7:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 10:00 pm ; Fri --> 7:00 am - 11:00 pm ; Sat --> 9:00 am - 11:00 pm ; Sun --> 9:00 am - 6:00 pm ;	Yes	No	Yes	Yes	No	No	NA	Brunch	Street	Yes	No	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	Yes	NA	NA
Mission Bowling Club	(415) 863-2695	missionbowlingclub.com	3176 17th StSan Francisco, CA 94110 b/t Shotwell St & Van Ness Ave Mission	Mon --> 3:00 pm - 11:00 pm ; Tue --> 3:00 pm - 11:00 pm ; Wed --> NA - NA ; Thu --> 3:00 pm - 12:00 am ; Fri --> 3:00 pm - 12:00 am ; Sat --> 11:00 am - 12:00 am ; Sun --> 11:00 am - 11:00 pm ;	Yes	No	No	Yes	No	NA	NA	Dinner	Street	Yes	No	Yes	Casual	Hipster	Loud	Full Bar	Yes	No	Yes	No	NA	https://missionbowlingclub.com/	NA
Mission Cheese	(415) 553-8667	missioncheese.net	736 Valencia StSan Francisco, CA 94110 b/t 19th St & 18th St Mission	Mon --> NA - NA ; Tue --> 11:00 am - 9:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 9:00 pm ; Fri --> 11:00 am - 10:00 pm ; Sat --> 11:00 am - 10:00 pm ; Sun --> 11:00 am - 9:00 pm ;	No	No	Yes	Yes	Yes	NA	NA	Lunch	Street	Yes	No	No	Casual	Hipster	Average	Beer & Wine Only	Yes	No	No	No	Yes	http://missioncheese.net/connect/	orders@missioncheese.net, sarah@missioncheese.net
